ncbi_taxon_id	scientific_name	n_plantcyc_org_ids	plantcyc_org_ids	in_proteins_dat	n_proteins	in_compounds_dat	n_compounds	n_genes	n_pathways_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	gpml_as_complex	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_complex_groups	n_gpml_pathway_files	gpml_name_form	cplx_protein_ids	cplx_component_ids
3702	Arabidopsis thaliana	4	ORG-5862; ORG-5993; ORG4FS-2; TAX-3702	yes	1639	yes	1	1433	625	yes	yes	yes	yes	no	3602	4117	1	0	1038	resolved_name	AT1G43710-CPLX; AT2G42010-CPLX; AT2G43360-CPLX; AT3G07270-CPLX; AT3G15730-CPLX; AT3G16785-CPLX; AT3G59970-CPLX; AT4G11850-CPLX; AT4G35790-CPLX; AT4G36400-MONOMER; CPLX-1082; CPLX-1246; CPLX-1247; CPLX-1282; CPLX-1283; CPLX-1284; CPLX-1285; CPLX-1305; CPLX-1322; CPLX-1323; CPLX-1324; CPLX-1325; CPLX-1326; CPLX-1344; CPLX-1345; CPLX-1362; CPLX-1363; CPLX-1364; CPLX-1382; CPLX-1383; CPLX-1424; CPLX-1425; CPLX-1426; CPLX-1427; CPLX-1505; CPLX-1506; CPLX-1523; CPLX-1524; CPLX-1525; CPLX-1526; CPLX-1527; CPLX-1582; CPLX-1623; CPLX-1642; CPLX-1821; CPLX-1902; CPLX-1903; CPLX-1904; CPLX-1905; CPLX-1906; CPLX-1908; CPLX-1967; CPLX-2043; CPLX-2082; CPLX-2242; CPLX-2281; CPLX-2282; CPLX-2301; CPLX-2302; CPLX-2303; CPLX-2304; CPLX-2342; CPLX-2343; CPLX-2783; CPLX-4102; CPLX-43; CPLX-4562; CPLX-4582; CPLX-4583; CPLX-4584; CPLX-4585; CPLX-4645; CPLX-4646; CPLX-4861; CPLX-5263; CPLX-5301; CPLX-5321; CPLX-5323; CPLX-5684; CPLX-6121; CPLX-6221; CPLX-6282; CPLX-6461; CPLX-6521; CPLX-7016; CPLX-7017; CPLX-7018; CPLX-7034; CPLX-7037; CPLX-7041; CPLX-7044; CPLX-7062; CPLX-7063; CPLX-7064; CPLX-7073; CPLX-7084; CPLX-7089; CPLX-7097; CPLX-7099; CPLX-7191; CPLX-7196; CPLX-7197; CPLX-7198; CPLX-7214; CPLX-7231; CPLX-7232; CPLX-7233; CPLX-7264; CPLX-7280; CPLX-7281; CPLX-7518; CPLX-7644; CPLX-7645; CPLX-7646; CPLX-7907; CPLX-7979; CPLX-8032; CPLX-805; CPLX-8103; CPLX-8106; CPLX-8288; CPLX-8304; CPLX-8350; CPLX-8458; CPLX-8561; CPLX-8562; CPLX-8615; CPLX-8617; CPLX-8634; CPLX-8667; CPLX-9180; CPLX-942; CPLX-985; CPLX1F-106; CPLX1F-15; CPLX1F-19; CPLX1F-26; CPLX1F-29; CPLX1F-78; CPLXQT-1; CPLXQT-11; CPLXQT-12; CPLXQT-13; CPLXQT-14; CPLXQT-15; CPLXQT-16; CPLXQT-17; CPLXQT-19; CPLXQT-2; CPLXQT-20; CPLXQT-21; CPLXQT-23; CPLXQT-24; CPLXQT-25; CPLXQT-26; CPLXQT-27; CPLXQT-28; CPLXQT-29; CPLXQT-3; CPLXQT-30; CPLXQT-31; CPLXQT-32; CPLXQT-33; CPLXQT-34; CPLXQT-35; CPLXQT-36; CPLXQT-37; CPLXQT-4; CPLXQT-41; CPLXQT-45; CPLXQT-5; CPLXQT-51; CPLXQT-52; CPLXQT-53; CPLXQT-54; CPLXQT-55; CPLXQT-6; CPLXQT-7; CPLXQT-8; CPLXQT-9; FAE4; RUBISCO2; RUBISCO3; RUBISCO4	AT1G01480-MONOMER; AT1G01710-MONOMER; AT1G02500-MONOMER; AT1G03090-MONOMER; AT1G03310-MONOMER; AT1G06680-MONOMER; AT1G08380-MONOMER; AT1G08480-MONOMER; AT1G08490-MONOMER; AT1G08520-MONOMER; AT1G08550-MONOMER; AT1G10670-MONOMER; AT1G12780-MONOMER; AT1G14810-MONOMER; AT1G15710-MONOMER; AT1G16400-MONOMER; AT1G16410-MONOMER; AT1G18500-MONOMER; AT1G20330-MONOMER; AT1G20575-MONOMER; AT1G20620-MONOMER; AT1G20630-MONOMER; AT1G24360-MONOMER; AT1G32060-MONOMER; AT1G32440-MONOMER; AT1G37130-MONOMER; AT1G43710-MONOMER; AT1G44575-MONOMER; AT1G47260-MONOMER; AT1G47420-MONOMER; AT1G48140-MONOMER; AT1G49140-MONOMER; AT1G55670-MONOMER; AT1G55920-MONOMER; AT1G62180-MONOMER; AT1G63180-MONOMER; AT1G64440-MONOMER; AT1G66200-MONOMER; AT1G67090-MONOMER; AT1G67730-MONOMER; AT1G67740-MONOMER; AT1G67740-MONOMER-Y2; AT1G68000-MONOMER; AT1G68530-MONOMER; AT1G74040-MONOMER; AT1G74340-MONOMER; AT1G76450-MONOMER; AT1G77090-MONOMER; AT1G77760-MONOMER; AT1G78590-MONOMER; AT1G78660-MONOMER; AT1G78680-MONOMER; AT1G79010-MONOMER; AT1G79040-MONOMER; AT1G79440-MONOMER; AT1G79500-MONOMER; AT1G80230-MONOMER; AT2G02050-MONOMER; AT2G06520-MONOMER; AT2G13360-MONOMER; AT2G13560-MONOMER; AT2G17130-MONOMER; AT2G17420-MONOMER; AT2G19450-MONOMER; AT2G19570-MONOMER; AT2G20360-MONOMER; AT2G20690-MONOMER; AT2G21790-MONOMER; AT2G22330-MONOMER; AT2G22810-MONOMER; AT2G27150-MONOMER; AT2G27190-MONOMER; AT2G27450-MONOMER; AT2G27730-MONOMER; AT2G27860-MONOMER; AT2G28605-MONOMER; AT2G28800-MONOMER; AT2G29980-MONOMER; AT2G30570-MONOMER; AT2G31490-MONOMER; AT2G33220-MONOMER; AT2G38040-MONOMER; AT2G38230-MONOMER; AT2G38700-MONOMER; AT2G39290-MONOMER; AT2G39930-MONOMER; AT2G41680-MONOMER; AT2G42010-MONOMER; AT2G42310-MONOMER; AT2G43090-MONOMER; AT2G43360-MONOMER; AT2G43750-MONOMER; AT2G43760-MONOMER; AT2G44050-MONOMER; AT2G44810-MONOMER; AT2G46390-MONOMER; AT2G46505-MONOMER; AT2G47380-MONOMER; AT2G47690-MONOMER; AT3G01120-MONOMER; AT3G01420-MONOMER; AT3G01910-MONOMER; AT3G02470-MONOMER; AT3G02470-MONOMER-BETA; AT3G03100-MONOMER; AT3G03250-MONOMER; AT3G04870-MONOMER; AT3G06850-MONOMER; AT3G07270-MONOMER; AT3G08610-MONOMER; AT3G10050-MONOMER; AT3G11170-MONOMER; AT3G11480-MONOMER; AT3G11750-MONOMER; AT3G12120-MONOMER; AT3G12260-MONOMER; AT3G13110-MONOMER; AT3G13450-MONOMER; AT3G15730-MONOMER; AT3G15850-MONOMER; AT3G16785-MONOMER; AT3G17240-MONOMER; AT3G17820-MONOMER; AT3G21070-MONOMER; AT3G22200-MONOMER; AT3G22960-MONOMER; AT3G23490-MONOMER; AT3G23580-MONOMER; AT3G25770-MONOMER; AT3G26650-MONOMER; AT3G27060-MONOMER; AT3G43600-MONOMER; AT3G44300-MONOMER; AT3G44310-MONOMER; AT3G44320-MONOMER; AT3G46940-MONOMER; AT3G47833-MONOMER; AT3G48680-MONOMER; AT3G51840-MONOMER; AT3G54660-MONOMER; AT3G55360-MONOMER; AT3G56650-MONOMER; AT3G57050-MONOMER; AT3G57610-MONOMER; AT3G57785-MONOMER; AT3G59760-MONOMER; AT3G59970-MONOMER; AT4G00570-MONOMER; AT4G02580-MONOMER; AT4G03050-MONOMER; AT4G03060-MONOMER; AT4G04610-MONOMER; AT4G09320-MONOMER; AT4G10100-MONOMER; AT4G10960-MONOMER; AT4G11850-MONOMER; AT4G12720-MONOMER; AT4G13430-MONOMER; AT4G13770-MONOMER; AT4G14210-MONOMER; AT4G14680-MONOMER; AT4G14880-MONOMER; AT4G15510-MONOMER; AT4G16450-MONOMER; AT4G16566-MONOMER; AT4G16760-MONOMER; AT4G18480-MONOMER; AT4G20070-MONOMER; AT4G20150-MONOMER; AT4G21280-MONOMER; AT4G21990-MONOMER; AT4G23920-MONOMER; AT4G25700-MONOMER; AT4G30950-MONOMER; AT4G31500-MONOMER; AT4G32210-MONOMER; AT4G33030-MONOMER; AT4G34030-MONOMER; AT4G35090-MONOMER; AT4G35460-MONOMER; AT4G35790-MONOMER; AT4G36480-MONOMER; AT4G37070-MONOMER; AT4G37830-MONOMER; AT4G39950-MONOMER; AT5G03290-MONOMER; AT5G04590-MONOMER; AT5G05580-MONOMER; AT5G06580-MONOMER; AT5G07440-MONOMER; AT5G08170-MONOMER; AT5G08530-MONOMER; AT5G09300-MONOMER; AT5G10480-MONOMER; AT5G11450-MONOMER; AT5G11770-MONOMER; AT5G13440-MONOMER; AT5G13630-MONOMER; AT5G15770-MONOMER; AT5G16390-MONOMER; AT5G16570-MONOMER; AT5G18170-MONOMER; AT5G19220-MONOMER; AT5G20960-MONOMER; AT5G23010-MONOMER; AT5G23670-MONOMER; AT5G27380-MONOMER; AT5G28840-MONOMER; AT5G34850-MONOMER; AT5G35360-MONOMER; AT5G37510-MONOMER; AT5G37600-MONOMER; AT5G37850-MONOMER; AT5G38410-MONOMER; AT5G38420-MONOMER; AT5G38430-MONOMER; AT5G38530-MONOMER; AT5G40650-MONOMER; AT5G40942-MONOMER; AT5G42650-MONOMER; AT5G43780-MONOMER; AT5G46290-MONOMER; AT5G48300-MONOMER; AT5G49460-MONOMER; AT5G52840-MONOMER; AT5G52920-MONOMER; AT5G56760-MONOMER; AT5G58220-MONOMER; AT5G60540-MONOMER; AT5G63510-MONOMER; AT5G64370-MONOMER; AT5G65110-MONOMER; AT5G66510-MONOMER; AT5G66570-MONOMER; AT5G66760-MONOMER; AT5G67030-MONOMER; AT5G67590-MONOMER; ATCG00020-MONOMER; ATCG00080-MONOMER; ATCG00120-MONOMER; ATCG00270-MONOMER; ATCG00280-MONOMER; ATCG00480-MONOMER; ATCG00490-MONOMER; ATCG00500-MONOMER; ATCG00580-MONOMER; ATCG00680-MONOMER; ATCG00690-MONOMER; ATCG00710-MONOMER; ATMG00070-MONOMER; ATMG00160-MONOMER; ATMG00510-MONOMER; ATMG00513-MONOMER; ATMG00730-MONOMER; ATMG01120-MONOMER; ATMG01360-MONOMER; CPLXQT-1; CPLXQT-11; CPLXQT-12; CPLXQT-7; CPLXQT-8; GQT-1336-MONOMER; GQT-3803-MONOMER; GQT-4090-MONOMER; GQT-4122-MONOMER; GQT-686-MONOMER; MONOMER-1091; MONOMER-1092; MONOMER-1093; MONOMER-1094; MONOMER-1095; MONOMER-1096; MONOMER-1097; MONOMER-1098; MONOMER-1099; MONOMER-1100; MONOMER-14118; MONOMER-1583; MONOMER-1621; MONOMER-1622; MONOMER-17906; MONOMER-20106; MONOMER-3245; MONOMER-8804; MONOMERQT-2574; MONOMERQT-2575; MONOMERQT-4168
54796	Argemone mexicana	1	TAX-54796	yes	2	no	0	2	5	yes	yes	yes	no	no	7	7	0	0	5	resolved_name		
35608	Artemisia annua	1	TAX-35608	yes	9	no	0	8	14	yes	yes	yes	no	no	25	26	0	0	20	resolved_name		
48545	Asclepias syriaca	1	TAX-48545	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
20406	Astragalus bisulcatus	1	TAX-20406	yes	2	no	0	1	3	yes	yes	yes	no	no	3	5	0	0	4	resolved_name		
119829	Astragalus mongholicus	1	TAX-119829	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
33113	Atropa belladonna	1	TAX-33113	yes	3	no	0	1	3	yes	yes	yes	no	no	2	2	0	0	2	resolved_name	CPLX-7164	MONOMER-12446
3078	Auxenochlorella pyrenoidosa	1	TAX-3078	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
4498	Avena sativa	1	TAX-4498	yes	9	no	0	5	11	yes	yes	yes	no	no	17	21	0	0	15	resolved_name		
38783	Avena strigosa	1	TAX-38783	yes	11	no	0	9	14	yes	yes	yes	no	no	29	37	0	0	16	resolved_name	CPLX-8850	MONOMER-18580; MONOMER-18582
171760	Barnadesia spinosa	1	TAX-171760	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
4436	Batis maritima	1	TAX-4436	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
22774	Berberis Wilsoniae	2	ORG-5876; ORG-5877	yes	5	no	0	0	8	yes	no	yes	no	no	0	15	0	0	8	resolved_name	CPLX-5661	MONOMER-9455
33814	Berberis stolonifera	1	TAX-33814	yes	2	no	0	1	4	yes	yes	yes	no	no	1	6	0	0	6	resolved_name		
3555	Beta vulgaris	1	TAX-3555	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
216988	Betula platyphylla	1	TAX-216988	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
51276	Bidens tripartita	1	TAX-51276	no	0	yes	1	0	0	yes	no	no	yes	no	0	0	1	0	1	resolved_name		
66672	Bixa orellana	1	TAX-66672	yes	3	no	0	3	2	yes	yes	yes	no	no	4	4	0	0	2	resolved_name		
259381	Blighia sapida	1	TAX-259381	yes	2	no	0	0	1	yes	no	yes	no	no	0	2	0	0	1	resolved_name		
13363	Borago officinalis	1	TAX-13363	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
38881	Botryococcus braunii	1	TAX-38881	yes	2	no	0	1	1	yes	yes	yes	no	no	10	11	0	0	9	resolved_name		
869302	Botryococcus braunii	1	TAX-869302	yes	2	no	0	2	4	yes	yes	yes	no	no	10	11	0	0	9	resolved_name		
15368	Brachypodium distachyon	1	TAX-15368	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
3707	Brassica juncea	1	TAX-3707	yes	2	no	0	2	2	yes	yes	yes	no	no	8	8	0	0	4	resolved_name		
3708	Brassica napus	1	TAX-3708	yes	15	no	0	5	14	yes	yes	yes	no	no	10	20	0	0	17	resolved_name	CPLX-5402; CPLX-5403; CPLX-7647	MONOMER-14120; MONOMER-8922; MONOMER-8923; MONOMER-8924
3710	Brassica nigra	1	TAX-3710	yes	3	no	0	0	1	yes	no	yes	no	no	0	2	0	0	2	resolved_name	CPLX-2142	MONOMER-2441; MONOMER-2442
36774	Brassica oleracea	1	TAX-36774	yes	2	no	0	2	3	yes	yes	yes	no	no	8	17	0	0	9	resolved_name		
3712	Brassica oleracea	1	TAX-3712	yes	6	no	0	2	3	yes	yes	yes	no	no	8	17	0	0	9	resolved_name		
3715	Brassica oleracea	1	TAX-3715	yes	3	no	0	1	2	yes	yes	yes	no	no	8	17	0	0	9	resolved_name	CPLX-7200	MONOMER-12643
3711	Brassica rapa	1	TAX-3711	yes	3	no	0	0	5	yes	no	yes	no	no	0	7	0	0	7	resolved_name	CPLX-7222	MONOMER-12703
15371	Bromus inermis	1	TAX-15371	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
39984	Bruguiera gymnorhiza	1	TAX-39984	yes	2	no	0	2	8	yes	yes	yes	no	no	10	10	0	0	9	resolved_name		
41496	Calendula officinalis	1	TAX-41496	yes	3	no	0	2	2	yes	yes	yes	no	no	2	3	0	0	2	resolved_name		
261999	Camellia sinensis	1	TAX-261999	yes	1	no	0	0	1	yes	yes	yes	no	no	7	26	0	0	13	resolved_name		
4442	Camellia sinensis	1	TAX-4442	yes	13	no	0	4	8	yes	yes	yes	no	no	7	26	0	0	13	resolved_name	CPLX-8827; CPLX-8828	CPLX-8828; MONOMER-18490; MONOMER-18491
542762	Camellia sinensis	1	TAX-542762	yes	2	no	0	1	1	yes	yes	yes	no	no	7	26	0	0	13	resolved_name		
16922	Camptotheca acuminata	1	TAX-16922	yes	4	no	0	4	5	yes	yes	yes	no	no	12	12	0	0	6	resolved_name		
3823	Canavalia ensiformis	1	TAX-3823	yes	3	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name	CPLX-6909	MONOMER-11581
28957	Canavalia lineata	1	TAX-28957	yes	4	no	0	0	1	yes	no	yes	no	no	0	3	0	0	1	resolved_name	CPLX-32	MONOMER-31
3483	Cannabis sativa	1	TAX-3483	yes	9	no	0	3	9	yes	yes	yes	no	no	8	13	0	0	10	resolved_name	CPLX-7057; CPLX-8550	MONOMER-12035; MONOMER-17637
4071	Capsicum	1	TAX-4071	yes	4	no	0	3	2	yes	yes	yes	no	no	1	5	0	0	2	resolved_name	CPLX-7528	ACP; MONOMER-13530; MONOMER-13531; MONOMER-13706
4072	Capsicum annuum	1	TAX-4072	yes	11	no	0	6	22	yes	yes	yes	no	no	12	44	0	0	34	resolved_name	CPLX-7090	MONOMER-12171
80379	Capsicum chinense	1	TAX-80379	yes	3	no	0	3	8	yes	yes	yes	no	no	9	9	0	0	8	resolved_name		
4073	Capsicum frutescens	1	TAX-4073	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
77880	Carapichea ipecacuanha	1	TAX-77880	yes	5	no	0	5	1	yes	yes	yes	no	no	5	5	0	0	1	resolved_name		
3649	Carica papaya	1	TAX-3649	no	0	yes	2	0	0	yes	no	no	yes	no	0	0	2	0	1	resolved_name		
4222	Carthamus tinctorius	1	TAX-4222	yes	4	no	0	1	8	yes	yes	yes	no	no	1	10	0	0	10	resolved_name		
48032	Carum carvi	1	TAX-48032	yes	3	no	0	0	1	yes	no	yes	no	no	0	3	0	0	1	resolved_name		
53851	Cassia coluteoides	1	ORG-5886	yes	1	no	0	0	4	yes	no	yes	no	no	0	4	0	0	4	resolved_name		
4058	Catharanthus roseus	1	TAX-4058	yes	31	no	0	19	47	yes	yes	yes	no	no	61	95	0	0	61	resolved_name	CPLX-6910	MONOMER-11583
124768	Celosia cristata	1	TAX-124768	yes	2	no	0	1	2	yes	yes	yes	no	no	2	4	0	0	3	resolved_name		
172057	Centaurium erythraea	1	TAX-172057	yes	4	no	0	0	1	yes	no	yes	no	no	0	8	0	0	2	resolved_name		
223054	Cephalocereus senilis	1	TAX-223054	yes	2	no	0	0	1	yes	no	yes	no	no	0	2	0	0	1	resolved_name		
3225	Ceratodon purpureus	1	TAX-3225	yes	2	no	0	2	3	yes	yes	yes	no	no	6	6	0	0	3	resolved_name		
103475	Cestrum elegans	1	TAX-103475	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
119174	Chiliadenus	1	TAX-119174	no	0	yes	1	0	0	yes	no	no	yes	no	0	0	1	0	1	resolved_name		
