ncbi_taxon_id	scientific_name	n_plantcyc_org_ids	plantcyc_org_ids	in_proteins_dat	n_proteins	in_compounds_dat	n_compounds	n_genes	n_pathways_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
48545	Asclepias syriaca	1	TAX-48545	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
20406	Astragalus bisulcatus	1	TAX-20406	yes	2	no	0	1	3	yes	yes	yes	no	3	5	0	4	resolved_name
119829	Astragalus mongholicus	1	TAX-119829	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
33113	Atropa belladonna	1	TAX-33113	yes	3	no	0	1	3	yes	yes	yes	no	2	2	0	2	resolved_name
3078	Auxenochlorella pyrenoidosa	1	TAX-3078	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
4498	Avena sativa	1	TAX-4498	yes	9	no	0	5	11	yes	yes	yes	no	17	21	0	15	resolved_name
38783	Avena strigosa	1	TAX-38783	yes	11	no	0	9	14	yes	yes	yes	no	29	37	0	16	resolved_name
171760	Barnadesia spinosa	1	TAX-171760	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
4436	Batis maritima	1	TAX-4436	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
22774	Berberis Wilsoniae	2	ORG-5876; ORG-5877	yes	5	no	0	0	8	yes	no	yes	no	0	15	0	8	resolved_name
33814	Berberis stolonifera	1	TAX-33814	yes	2	no	0	1	4	yes	yes	yes	no	1	6	0	6	resolved_name
3555	Beta vulgaris	1	TAX-3555	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
216988	Betula platyphylla	1	TAX-216988	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
51276	Bidens tripartita	1	TAX-51276	no	0	yes	1	0	0	yes	no	no	yes	0	0	1	1	resolved_name
66672	Bixa orellana	1	TAX-66672	yes	3	no	0	3	2	yes	yes	yes	no	4	4	0	2	resolved_name
259381	Blighia sapida	1	TAX-259381	yes	2	no	0	0	1	yes	no	yes	no	0	2	0	1	resolved_name
13363	Borago officinalis	1	TAX-13363	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
38881	Botryococcus braunii	1	TAX-38881	yes	2	no	0	1	1	yes	yes	yes	no	10	11	0	9	resolved_name
869302	Botryococcus braunii	1	TAX-869302	yes	2	no	0	2	4	yes	yes	yes	no	10	11	0	9	resolved_name
15368	Brachypodium distachyon	1	TAX-15368	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
3707	Brassica juncea	1	TAX-3707	yes	2	no	0	2	2	yes	yes	yes	no	8	8	0	4	resolved_name
3708	Brassica napus	1	TAX-3708	yes	15	no	0	5	14	yes	yes	yes	no	10	20	0	17	resolved_name
3710	Brassica nigra	1	TAX-3710	yes	3	no	0	0	1	yes	no	yes	no	0	2	0	2	resolved_name
36774	Brassica oleracea	1	TAX-36774	yes	2	no	0	2	3	yes	yes	yes	no	8	17	0	9	resolved_name
3712	Brassica oleracea	1	TAX-3712	yes	6	no	0	2	3	yes	yes	yes	no	8	17	0	9	resolved_name
3715	Brassica oleracea	1	TAX-3715	yes	3	no	0	1	2	yes	yes	yes	no	8	17	0	9	resolved_name
3711	Brassica rapa	1	TAX-3711	yes	3	no	0	0	5	yes	no	yes	no	0	7	0	7	resolved_name
15371	Bromus inermis	1	TAX-15371	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
39984	Bruguiera gymnorhiza	1	TAX-39984	yes	2	no	0	2	8	yes	yes	yes	no	10	10	0	9	resolved_name
41496	Calendula officinalis	1	TAX-41496	yes	3	no	0	2	2	yes	yes	yes	no	2	3	0	2	resolved_name
261999	Camellia sinensis	1	TAX-261999	yes	1	no	0	0	1	yes	yes	yes	no	7	26	0	13	resolved_name
4442	Camellia sinensis	1	TAX-4442	yes	13	no	0	4	8	yes	yes	yes	no	7	26	0	13	resolved_name
542762	Camellia sinensis	1	TAX-542762	yes	2	no	0	1	1	yes	yes	yes	no	7	26	0	13	resolved_name
16922	Camptotheca acuminata	1	TAX-16922	yes	4	no	0	4	5	yes	yes	yes	no	12	12	0	6	resolved_name
3823	Canavalia ensiformis	1	TAX-3823	yes	3	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
28957	Canavalia lineata	1	TAX-28957	yes	4	no	0	0	1	yes	no	yes	no	0	3	0	1	resolved_name
3483	Cannabis sativa	1	TAX-3483	yes	9	no	0	3	9	yes	yes	yes	no	8	13	0	10	resolved_name
4071	Capsicum	1	TAX-4071	yes	4	no	0	3	2	yes	yes	yes	no	1	3	0	2	resolved_name
4072	Capsicum annuum	1	TAX-4072	yes	11	no	0	6	22	yes	yes	yes	no	12	44	0	34	resolved_name
80379	Capsicum chinense	1	TAX-80379	yes	3	no	0	3	8	yes	yes	yes	no	9	9	0	8	resolved_name
4073	Capsicum frutescens	1	TAX-4073	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
77880	Carapichea ipecacuanha	1	TAX-77880	yes	5	no	0	5	1	yes	yes	yes	no	5	5	0	1	resolved_name
3649	Carica papaya	1	TAX-3649	no	0	yes	2	0	0	yes	no	no	yes	0	0	2	1	resolved_name
4222	Carthamus tinctorius	1	TAX-4222	yes	4	no	0	1	8	yes	yes	yes	no	1	10	0	10	resolved_name
48032	Carum carvi	1	TAX-48032	yes	3	no	0	0	1	yes	no	yes	no	0	3	0	1	resolved_name
53851	Cassia coluteoides	1	ORG-5886	yes	1	no	0	0	4	yes	no	yes	no	0	4	0	4	resolved_name
4058	Catharanthus roseus	1	TAX-4058	yes	31	no	0	19	47	yes	yes	yes	no	61	95	0	61	resolved_name
124768	Celosia cristata	1	TAX-124768	yes	2	no	0	1	2	yes	yes	yes	no	2	4	0	3	resolved_name
172057	Centaurium erythraea	1	TAX-172057	yes	4	no	0	0	1	yes	no	yes	no	0	8	0	2	resolved_name
223054	Cephalocereus senilis	1	TAX-223054	yes	2	no	0	0	1	yes	no	yes	no	0	2	0	1	resolved_name
3225	Ceratodon purpureus	1	TAX-3225	yes	2	no	0	2	3	yes	yes	yes	no	6	6	0	3	resolved_name
103475	Cestrum elegans	1	TAX-103475	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
119174	Chiliadenus	1	TAX-119174	no	0	yes	1	0	0	yes	no	no	yes	0	0	1	1	resolved_name
3055	Chlamydomonas reinhardtii	1	TAX-3055	yes	281	yes	1	245	78	yes	yes	yes	yes	206	318	1	111	resolved_name
41568	Chrysanthemum x morifolium	1	TAX-41568	yes	2	no	0	2	3	yes	yes	yes	no	10	10	0	5	resolved_name
36749	Chrysosplenium americanum	1	TAX-36749	yes	12	no	0	4	8	yes	yes	yes	no	20	40	0	10	resolved_name
3827	Cicer arietinum	1	TAX-3827	yes	40	no	0	1	16	yes	yes	yes	no	4	64	0	21	resolved_name
13427	Cichorium intybus	1	TAX-13427	yes	8	no	0	3	7	yes	yes	yes	no	8	16	0	7	resolved_name
43462	Cinchona	1	TAX-43462	yes	2	no	0	0	1	yes	no	yes	no	0	2	0	1	resolved_name
192326	Cinnamomum tenuipile	1	TAX-192326	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
191224	Cistus creticus	1	TAX-191224	yes	2	no	0	2	3	yes	yes	yes	no	4	4	0	4	resolved_name
76966	Citrus japonica	1	TAX-76966	yes	1	no	0	1	3	yes	yes	yes	no	4	4	0	4	resolved_name
135197	Citrus junos	1	TAX-135197	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
37334	Citrus maxima	1	TAX-37334	yes	3	no	0	1	4	yes	yes	yes	no	2	4	0	4	resolved_name
2711	Citrus sinensis	1	TAX-2711	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
55188	Citrus unshiu	1	TAX-55188	yes	1	no	0	1	4	yes	yes	yes	no	6	6	0	6	resolved_name
43166	Citrus x aurantium	1	TAX-43166	yes	1	no	0	0	2	yes	no	yes	no	0	2	0	2	resolved_name
164113	Citrus x microcarpa	1	TAX-164113	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
37656	Citrus x paradisi	1	TAX-37656	yes	3	no	0	2	14	yes	yes	yes	no	27	29	0	16	resolved_name
36903	Clarkia breweri	1	TAX-36903	yes	12	no	0	9	13	yes	yes	yes	no	10	24	0	18	resolved_name
90527	Cleretum bellidiforme	1	TAX-90527	yes	2	no	0	2	1	yes	yes	yes	no	4	4	0	2	resolved_name
43366	Clitoria ternatea	1	TAX-43366	yes	6	no	0	2	2	yes	no	yes	no	0	7	0	3	resolved_name
13443	Coffea arabica	1	TAX-13443	yes	6	no	0	6	3	yes	yes	yes	no	16	16	0	3	resolved_name
49390	Coffea canephora	1	TAX-49390	yes	6	no	0	6	12	yes	yes	yes	no	30	30	0	12	resolved_name
45005	Colchicum autumnale	1	TAX-45005	yes	3	no	0	0	1	yes	no	yes	no	0	3	0	1	resolved_name
4142	Coleus scutellarioides	1	TAX-4142	yes	4	no	0	1	2	yes	yes	yes	no	3	10	0	3	resolved_name
13447	Conium maculatum	1	TAX-13447	yes	3	no	0	0	1	yes	no	yes	no	0	3	0	2	resolved_name
3442	Coptis japonica	1	TAX-3442	yes	12	no	0	8	7	yes	yes	yes	no	11	18	0	11	resolved_name
397412	Coptis japonica	1	TAX-397412	yes	3	no	0	2	3	yes	yes	yes	no	11	18	0	11	resolved_name
13449	Coreopsis grandiflora	1	TAX-13449	yes	1	no	0	0	2	yes	no	yes	no	0	2	0	2	resolved_name
4047	Coriandrum sativum	1	TAX-4047	yes	2	no	0	1	1	yes	yes	yes	no	1	2	0	1	resolved_name
282776	Corydalis saxicola	1	TAX-282776	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
3463	Corydalis vaginans	2	ORG-5892; ORG-5893	yes	2	no	0	0	2	yes	no	yes	no	0	3	0	3	resolved_name
72610	Crepis alpina	1	TAX-72610	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
72611	Crepis palaestina	1	TAX-72611	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
82528	Crocus sativus	1	TAX-82528	yes	4	no	0	2	2	yes	yes	yes	no	2	2	0	2	resolved_name
431156	Croton stellatopilosus	1	TAX-431156	yes	3	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
107238	Croton sublyratus	1	TAX-107238	yes	2	no	0	1	2	yes	yes	yes	no	6	7	0	6	resolved_name
3369	Cryptomeria japonica	1	TAX-3369	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
3656	Cucumis melo	1	TAX-3656	yes	12	no	0	8	13	yes	yes	yes	no	25	37	0	17	resolved_name
3659	Cucumis sativus	1	TAX-3659	yes	14	no	0	3	12	yes	yes	yes	no	11	39	0	15	resolved_name
3661	Cucurbita maxima	1	TAX-3661	yes	5	no	0	5	5	yes	yes	yes	no	22	22	0	13	resolved_name
3663	Cucurbita pepo	3	ORG-5896; ORG-5897; TAX-3663	yes	4	no	0	0	1	yes	no	yes	no	0	4	0	3	resolved_name
136217	Curcuma longa	1	TAX-136217	yes	4	no	0	4	2	yes	yes	yes	no	10	10	0	6	resolved_name
79837	Cymbopogon martinii	1	TAX-79837	yes	2	no	0	1	1	yes	yes	yes	no	1	2	0	1	resolved_name
101602	Dahlia variabilis	1	TAX-101602	yes	4	no	0	1	7	yes	yes	yes	no	3	9	0	8	resolved_name
106130	Dalbergia cochinchinensis	1	TAX-106130	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
298683	Dalbergia nigrescens	1	TAX-298683	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
66679	Daphne odora	1	ORG-6210	yes	2	yes	4	0	2	yes	no	yes	yes	0	2	5	3	resolved_name
4076	Datura stramonium	1	TAX-4076	yes	3	no	0	2	3	yes	yes	yes	no	6	8	0	5	resolved_name
4039	Daucus carota	1	TAX-4039	yes	17	no	0	1	17	yes	yes	yes	no	6	38	0	22	resolved_name
328206	Davallia trichomanoides	1	TAX-328206	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
85439	Delphinium grandiflorum	1	TAX-85439	yes	4	no	0	4	5	yes	yes	yes	no	10	10	0	5	resolved_name
225101	Desmodium uncinatum	1	TAX-225101	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
3570	Dianthus caryophyllus	1	TAX-3570	yes	11	no	0	8	12	yes	yes	yes	no	12	21	0	13	resolved_name
49450	Digitalis lanata	1	TAX-49450	yes	9	no	0	4	2	yes	yes	yes	no	4	9	0	5	resolved_name
4164	Digitalis purpurea	1	TAX-4164	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
149691	Dimorphandra mollis	1	TAX-149691	yes	1	no	0	0	7	yes	no	yes	no	0	9	0	9	resolved_name
112408	Dimorphotheca sinuata	1	TAX-112408	yes	2	no	0	2	1	yes	yes	yes	no	2	2	0	1	resolved_name
35925	Diospyros kaki	1	TAX-35925	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
97234	Dryopteris crassirhizoma	1	TAX-97234	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
3258	Equisetum arvense	1	TAX-3258	yes	5	no	0	2	12	yes	yes	yes	no	8	19	0	15	resolved_name
32224	Eriobotrya japonica	1	TAX-32224	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
3467	Eschscholzia californica	1	TAX-3467	yes	13	no	0	9	9	yes	yes	yes	no	26	30	0	9	resolved_name
4307	Euonymus alatus	1	TAX-4307	yes	2	no	0	0	1	yes	no	yes	no	0	2	0	1	resolved_name
54672	Euphorbia lagascae	1	TAX-54672	yes	3	no	0	1	3	yes	yes	yes	no	1	4	0	4	resolved_name
52518	Eustoma grandiflorum	1	TAX-52518	yes	1	no	0	1	0	yes	yes	yes	no	2	2	0	2	resolved_name
3617	Fagopyrum esculentum	1	TAX-3617	yes	6	no	0	3	17	yes	yes	yes	no	14	25	0	20	resolved_name
62330	Fagopyrum tataricum	1	TAX-62330	yes	5	no	0	1	4	yes	yes	yes	no	4	8	0	5	resolved_name
4224	Flaveria bidentis	1	TAX-4224	yes	2	no	0	0	1	yes	no	yes	no	0	4	0	2	resolved_name
4228	Flaveria chlorifolia	1	TAX-4228	yes	4	no	0	0	1	yes	no	yes	no	0	8	0	2	resolved_name
48038	Foeniculum vulgare	1	TAX-48038	yes	4	no	0	0	5	yes	no	yes	no	0	10	0	5	resolved_name
205692	Forsythia koreana	1	TAX-205692	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
55183	Forsythia x intermedia	1	TAX-55183	yes	6	no	0	3	3	yes	no	yes	no	0	4	0	2	resolved_name
3746	Fragaria	1	TAX-3746	yes	1	yes	1	1	2	yes	yes	yes	yes	2	2	1	2	resolved_name
3747	Fragaria x ananassa	1	TAX-3747	yes	14	no	0	3	8	yes	yes	yes	no	5	16	0	14	resolved_name
867926	Freesia hybrid cultivar	1	TAX-867926	yes	1	no	0	1	3	yes	yes	yes	no	3	3	0	3	resolved_name
254777	Galium mollugo	1	TAX-254777	yes	3	no	0	0	2	yes	no	yes	no	0	7	0	3	resolved_name
50768	Gentiana straminea	1	TAX-50768	yes	1	no	0	1	7	yes	yes	yes	no	8	8	0	8	resolved_name
55190	Gentiana triflora	1	TAX-55190	yes	4	no	0	4	2	yes	yes	yes	no	7	7	0	3	resolved_name
18101	Gerbera hybrid cultivar	1	TAX-18101	yes	1	no	0	1	4	yes	yes	yes	no	6	6	0	6	resolved_name
3311	Ginkgo biloba	1	TAX-3311	yes	8	no	0	8	12	yes	yes	yes	no	23	23	0	18	resolved_name
76714	Glandularia x hybrida	1	TAX-76714	yes	1	no	0	1	5	yes	yes	yes	no	6	6	0	6	resolved_name
99038	Glebionis coronaria	1	TAX-99038	no	0	yes	1	0	0	yes	no	no	yes	0	0	1	1	resolved_name
118509	Glebionis segetum	1	TAX-118509	yes	2	no	0	0	4	yes	no	yes	no	0	8	0	7	resolved_name
3847	Glycine max	1	TAX-3847	yes	174	no	0	126	127	yes	yes	yes	no	491	587	0	142	resolved_name
3848	Glycine soja	1	TAX-3848	yes	2	no	0	2	0	yes	yes	yes	no	4	4	0	2	resolved_name
46348	Glycyrrhiza echinata	1	TAX-46348	yes	14	no	0	4	11	yes	yes	yes	no	16	38	0	15	resolved_name
49827	Glycyrrhiza glabra	1	TAX-49827	yes	7	no	0	6	16	yes	yes	yes	no	26	28	0	21	resolved_name
74613	Glycyrrhiza uralensis	1	TAX-74613	yes	2	no	0	2	1	yes	yes	yes	no	2	2	0	1	resolved_name
29729	Gossypium arboreum	1	TAX-29729	yes	4	no	0	4	3	yes	yes	yes	no	6	6	0	3	resolved_name
3634	Gossypium barbadense	1	TAX-3634	yes	2	no	0	1	1	yes	no	yes	no	0	1	0	1	resolved_name
3635	Gossypium hirsutum	1	TAX-3635	yes	1	no	0	0	3	yes	no	yes	no	0	3	0	3	resolved_name
39387	Gypsophila vaccaria	1	TAX-39387	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
44745	Haematococcus lacustris	1	TAX-44745	yes	1	no	0	1	3	yes	yes	yes	no	4	4	0	4	resolved_name
4233	Helianthus tuberosus	1	TAX-4233	yes	6	no	0	2	4	yes	no	yes	no	0	7	0	6	resolved_name
3981	Hevea brasiliensis	1	TAX-3981	yes	8	no	0	3	20	yes	yes	yes	no	23	36	0	29	resolved_name
4513	Hordeum vulgare	1	TAX-4513	yes	40	no	0	23	31	yes	yes	yes	no	23	56	0	38	resolved_name
3486	Humulus lupulus	1	TAX-3486	yes	9	no	0	7	11	yes	yes	yes	no	31	36	0	17	resolved_name
23110	Hydrangea macrophylla	1	TAX-23110	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
310458	Hyoscyamus albus	1	TAX-310458	yes	1	no	0	1	1	yes	yes	yes	no	3	3	0	3	resolved_name
35626	Hyoscyamus muticus	1	TAX-35626	yes	2	no	0	2	1	yes	yes	yes	no	2	2	0	1	resolved_name
4079	Hyoscyamus niger	1	TAX-4079	yes	8	no	0	2	4	yes	yes	yes	no	4	9	0	4	resolved_name
140968	Hypericum androsaemum	1	TAX-140968	yes	8	no	0	1	6	yes	no	yes	no	0	15	0	7	resolved_name
55963	Hypericum calycinum	1	TAX-55963	yes	2	yes	1	1	19	yes	yes	yes	yes	20	24	1	24	resolved_name
65561	Hypericum perforatum	1	TAX-65561	yes	3	no	0	2	4	yes	yes	yes	no	4	8	0	8	resolved_name
108394	Hyssopus <wasps, ants & bees>	1	TAX-108394	no	0	yes	1	0	0	yes	no	no	yes	0	0	2	2	resolved_name
63779	Impatiens balsamina	1	TAX-63779	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
4120	Ipomoea batatas	1	TAX-4120	yes	6	no	0	3	8	yes	yes	yes	no	6	9	0	8	resolved_name
35883	Ipomoea nil	1	TAX-35883	yes	1	no	0	1	4	yes	yes	yes	no	4	4	0	4	resolved_name
4121	Ipomoea purpurea	1	TAX-4121	yes	1	no	0	1	4	yes	yes	yes	no	4	4	0	4	resolved_name
51240	Juglans regia	1	TAX-51240	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
23013	Kalanchoe daigremontiana	1	TAX-23013	yes	3	no	0	3	7	yes	yes	yes	no	27	27	0	10	resolved_name
61147	Kandelia candel	1	TAX-61147	yes	2	no	0	2	11	yes	yes	yes	no	15	15	0	13	resolved_name
4236	Lactuca sativa	2	ORG-6001; TAX-4236	yes	5	no	0	5	6	yes	yes	yes	no	13	13	0	8	resolved_name
188838	Lampranthus sociorum	1	TAX-188838	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
3862	Lathyrus tingitanus	1	TAX-3862	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
39169	Lavandula	1	TAX-39169	no	0	yes	1	0	0	yes	no	no	yes	0	0	2	2	resolved_name
39329	Lavandula angustifolia	1	TAX-39329	yes	2	no	0	2	4	yes	yes	yes	no	5	5	0	5	resolved_name
3864	Lens culinaris	1	TAX-3864	yes	1	no	0	0	2	yes	no	yes	no	0	2	0	2	resolved_name
33125	Lepidium sativum	1	TAX-33125	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
3866	Leucaena leucocephala	1	TAX-3866	yes	2	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
4690	Lilium longiflorum	1	TAX-4690	yes	3	no	0	0	3	yes	no	yes	no	0	3	0	3	resolved_name
42439	Limnanthes alba	1	TAX-42439	yes	2	no	0	2	2	yes	yes	yes	no	2	2	0	2	resolved_name
28973	Limnanthes douglasii	1	TAX-28973	yes	2	no	0	2	3	yes	yes	yes	no	10	10	0	5	resolved_name
407263	Linum flavum	1	TAX-407263	yes	4	no	0	1	3	yes	no	yes	no	0	3	0	3	resolved_name
407264	Linum nodiflorum	1	TAX-407264	yes	4	no	0	1	3	yes	no	yes	no	0	3	0	3	resolved_name
35941	Linum perenne	1	TAX-35941	yes	2	no	0	2	3	yes	yes	yes	no	3	3	0	3	resolved_name
4006	Linum usitatissimum	1	TAX-4006	yes	11	no	0	3	15	yes	yes	yes	no	9	18	0	16	resolved_name
4400	Liquidambar styraciflua	1	TAX-4400	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
34254	Lithospermum erythrorhizon	1	TAX-34254	yes	6	no	0	4	16	yes	yes	yes	no	20	37	0	17	resolved_name
4521	Lolium multiflorum	1	TAX-4521	no	0	yes	1	0	0	yes	no	no	yes	0	0	1	1	resolved_name
4522	Lolium perenne	1	TAX-4522	yes	2	no	0	2	2	yes	yes	yes	no	3	3	0	2	resolved_name
47247	Lotus corniculatus	1	TAX-47247	yes	3	no	0	2	5	yes	yes	yes	no	3	6	0	6	resolved_name
34305	Lotus japonicus	1	TAX-34305	yes	117	no	0	116	45	yes	yes	yes	no	463	463	0	56	resolved_name
3870	Lupinus albus	1	TAX-3870	yes	2	no	0	1	3	yes	yes	yes	no	1	4	0	4	resolved_name
3871	Lupinus angustifolius	1	TAX-3871	yes	1	no	0	0	4	yes	no	yes	no	0	5	0	5	resolved_name
3873	Lupinus luteus	1	TAX-3873	yes	11	no	0	0	11	yes	no	yes	no	0	26	0	16	resolved_name
3874	Lupinus polyphyllus	1	TAX-3874	yes	3	no	0	0	2	yes	no	yes	no	0	4	0	2	resolved_name
3869	Lupinus termis	1	ORG-5911	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
283673	Lycopersicon hirsutum	1	TAX-283673	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
3406	Magnolia grandiflora	1	TAX-3406	yes	2	no	0	2	2	yes	yes	yes	no	2	2	0	2	resolved_name
3750	Malus domestica	3	ORG-6292; ORG-6293; TAX-3750	yes	14	no	0	9	8	yes	yes	yes	no	12	15	0	11	resolved_name
283210	Malus pumila	1	TAX-283210	yes	2	no	0	1	2	yes	yes	yes	no	1	3	0	2	resolved_name
3983	Manihot esculenta	2	ORG-5912; TAX-3983	yes	9	no	0	5	4	yes	yes	yes	no	11	15	0	5	resolved_name
3724	Matthiola incana	1	TAX-3724	yes	4	no	0	0	9	yes	no	yes	no	0	13	0	10	resolved_name
